strain,type,thc,cbd,flavour 1,flavour 2,flavour 3,flavour 4,effect 1,effect 2,effect 3,effect 4,grow_type,growing_time
American Pie,indica,0.180,0.010, Sweet, Earthy, Fruity, Berry, Creative, Sociable, Clear-headed, Happy, Photoperiod, 8-9 weeks
Amherst Sour Diesel,sativa,0.120,0.001, Fresh, Citrus, Sour,, Cerebral, Creative, Happy, Energetic, Autoflowering, 11-12 weeks
Amnesi-K Lemon,hybrid,0.190,0.001, Sweet, Caramel,,, Uplifting, Euphoric, Alert,, Photoperiod, 9 weeks
Amnesia,indica,0.120,0.001, Fruity, Orange, Candy, Sweet, Happy, Body-buzz, Relaxed, Calming, Photoperiod, 9-10 weeks
Amnesia 7,hybrid,0.210,0.001, Fresh, Kushy, Lemon,, Balanced, Cerebral, Relaxed,, Photoperiod, 8-9 weeks
Amnesia Bilbo,indica,0.140,0.001, Earthy, Citrus, Sweet,, Uplifting, Relaxed,,, Autoflowering, 9-10 weeks
Amnesia Bilbo Autoflowering,indica,0.200,0.001, Woody, Musky, Sweet,, Calming, Body-buzz, Relaxed, Narcotic, Autoflowering, 9 weeks
Amnesia CBD,sativa,0.200,0.030, Fruity, Citrus, Lemon,, Attentive, Cerebral, Energetic, Euphoric, Photoperiod, 9 weeks
Amnesia Gold,indica,0.160,0.001, Fruity, Sweet, Grapefruit,, Clear-headed, Relaxed, Mellow, Body-buzz, Photoperiod, 8-9 weeks
Amnesia Haze,indica,0.070,0.220, Sweet, Caramel, Tropical,, Cerebral, Mellow, Smooth, Clear-headed, Photoperiod, 8-9 weeks
Amnesia Haze Autoflowering,indica,0.160,0.001, Pine, Flowery, Fresh, Earthy, Smooth, Relaxed, Body-buzz, Calming, Autoflowering, 8-9 weeks
Amnesia Haze XL,sativa,0.120,0.001, Sweet, Cheese, Tropical, Fruity, Creative, Uplifting, Energetic, Euphoric, Photoperiod, 8-9 weeks
Amnesia Haze XL Autoflowering,indica,0.120,0.001, Fresh, Pine, Earthy,, Body-buzz, Lazy, Relaxed,, Autoflowering, 8-9 weeks
Amnesia Kush,sativa,0.120,0.001, Sweet, Citrus, Chemical,, Diesel, Motivated, Cerebral, Energetic, Photoperiod, 9-10 weeks
Amnesia Lemon,indica,0.120,0.001, Spicy, Nutty, Woody,, Relaxed, Tingly, Calming,, Autoflowering, 9 weeks
Amnesia Mistery,hybrid,0.200,0.001, Herbal, Spicy, Sweet,, Relaxed, Body-buzz, Sociable, Happy, Photoperiod, 10-11 weeks
Amnesia Molotov,sativa,0.180,0.001, Citrus, Spicy, Pine,, Cerebral, Euphoric, Relaxed,, Photoperiod, 8 weeks
Amnesia Ryder,indica,0.120,0.001, Vanilla, Earthy, Sweet,, Euphoric, Balanced, Relaxed, Cerebral, Autoflowering, 9-10 weeks
Amnesia Skunk Autoflowering,indica,0.170,0.030, Sweet, Fruity,,, Euphoric, Relaxed, Couch-lock, Strong,,
Amnesia White,sativa,0.120,0.001, Diesel, Fruity, Citrus, Earthy, Uplifting, Couch-lock, Strong, Energetic, Photoperiod, 9 weeks
Amnesia XXL Autoflowering,hybrid,0.120,0.001, Sweet, Earthy, Pine,, Happy, Relaxed, Cerebral, Sociable, Autoflowering, 10-11 weeks
Amsterdam Mist,indica,0.140,0.030, Caramel, Tropical, Sweet,, Happy, Body-buzz, Calming, Sociable, Autoflowering, 8-9 weeks
Amur Giant Autoflowering,hybrid,0.180,0.005, Sweet, Citrus, Berry,, Happy, Cerebral, Relaxed, Sociable, Autoflowering, 11-12 weeks
Anesthesia,sativa,0.200,0.001, Sweet, Berry, Citrus,, Uplifting, Happy, Cerebral, Relaxed, Photoperiod, 9 weeks
Angel Heart,hybrid,0.220,0.001, Citrus, Lemon, Diesel,, Euphoric, Uplifting, Creative, Motivated, Photoperiod, 9-10 weeks
Annapurna SuperAuto,indica,0.150,0.005, Sweet, Fruity, Spicy,, Relaxed, Body-buzz, Narcotic, Dreamy, Photoperiod, 7-8 weeks
