strain,type,thc,cbd,flavour 1,flavour 2,flavour 3,flavour 4,effect 1,effect 2,effect 3,effect 4,grow_type,growing_time
Chocolate Chunk,indica,0.190,0.110, Spicy, Sweet, Flowery,, Happy, Strong, Relaxed, Sleepy, Photoperiod, 7-8 weeks
Chocolate Fondue,indica,0.160,0.001, Citrus, Sweet, Caramel,, Relaxed, Sociable, Talkative, Cerebral, Photoperiod, 9 weeks
Chocolate Mint OG,hybrid,0.210,0.001, Herbal, Earthy, Pine,, Euphoric, Strong, Relaxed, Happy, Photoperiod, 9 weeks
Chocolope,indica,0.220,0.030, Earthy, Citrus, Pungent, Coffee, Cerebral, Balanced, Happy, Body-buzz, Autoflowering, 9-11 weeks
Chocolope Kush,hybrid,0.120,0.001, Woody, Lime, Cherry, Sandalwood, Balanced, Relaxed, Body-buzz, Cerebral, Photoperiod, 9 weeks
Chronic,sativa,0.220,0.001, Sweet, Candy, Spicy,, Cerebral, Energetic, Euphoric, Creative, Photoperiod, 9-12 weeks
Chronic Lights,sativa,0.120,0.001, Woody, Tropical, Fruity, Sweet, Relaxed, Uplifting, Happy, Cerebral, Autoflowering, 8-9 weeks
Chronic Ryder,hybrid,0.150,0.001, Fruity, Sweet,,, Strong, Relaxed, Talkative, Happy, Photoperiod, 7-9 weeks
Chronic Thunder,hybrid,0.120,0.001, Earthy, Peach, Sweet, Lemon, Clear-headed, Relaxed, Body-buzz, Happy, Photoperiod, 7 weeks
Chunky Cheeze,indica,0.200,0.001, Spicy, Pine, Earthy,, Uplifting, Relaxed, Happy, Cerebral, Autoflowering, 9 weeks
Cinderella 99,sativa,0.120,0.001, Herbal, Cheese, Sweet,, Uplifting, Energetic, Motivated, Happy,,
Citral Skunk,indica,0.120,0.001, Earthy, Pungent, Pine, Kushy, Body-buzz, Relaxed, Happy, Calming, Photoperiod, 9 weeks
Citrus Smoothie,hybrid,0.210,0.001, Fruity, Pine, Sweet,, Euphoric, Uplifting, Strong, Trippy, Photoperiod, 9-10 weeks
Claustrum,hybrid,0.120,0.001, Spicy, Citrus, Sweet,, Uplifting, Creative, Energetic,, Autoflowering, 11 weeks
Climax Autoflowering,hybrid,0.220,0.001, Citrus, Lemon, Skunk,, Energetic, Cerebral, Uplifting,, Photoperiod, 8-10 weeks
Cluster Bomb,sativa,0.220,0.001, Fruity, Berry, Sweet,, Energetic, Strong, Uplifting, Cerebral, Autoflowering, 10-11 weeks
Cobra Autoflowering,indica,0.180,0.110, Herbal, Earthy, Relaxed,, Couch-lock, Calming,,, Photoperiod, 7-8 weeks
Cocoa Kush,hybrid,0.220,0.001, Lemon, Sour, Strong,, Energetic, Motivated,,, Photoperiod, 8-10 weeks
Cole Train,sativa,0.120,0.001, Fruity, Pine, Mint, Earthy, Creative, Energetic, Happy,, Photoperiod, 8-11 weeks
Colombian,indica,0.150,0.001, Lemon, Tropical, Pineapple, Spicy, Attentive, Cerebral, Relaxed, Happy, Photoperiod, 8 weeks
Colombian Sweet,hybrid,0.120,0.001, Lime, Sweet, Fruity,, Long-lasting, Strong,,, Photoperiod, 8-9 weeks
Coma Cluster,sativa,0.120,0.001, Fruity, Spicy,,, Happy, Uplifting, Energetic, Motivated, Photoperiod, 10 weeks
Confidencial Medicine,indica,0.180,0.001, Fruity, Sweet, Nutty, Citrus, Happy, Couch-lock, Calming, Munchies, Autoflowering, 8 weeks
Confidencial OG,hybrid,0.210,0.001, Pine, Skunk, Relaxed,, Munchies, Body-buzz, Happy, Strong, Photoperiod, 8-9 weeks
Congo,sativa,0.120,0.001, Cheese, Candy, Grape, Blueberry, Relaxed, Narcotic, Calming,, Photoperiod, 8-9 weeks
Congo Haze,hybrid,0.060,0.120, Citrus, Earthy, Sweet,, Sociable, Euphoric, Relaxed, Calming, Photoperiod, 8-9 weeks
Conspiracy Kush,hybrid,0.220,0.001, Skunk, Citrus, Hashish,, Euphoric, Long-lasting, Strong,, Photoperiod, 7-8 weeks
Cookies And Cream Cheese,sativa,0.220,0.001, Citrus, Earthy, Fruity,, Uplifting, Euphoric, Long-lasting, Energetic, Photoperiod, 8-9 weeks
Cookies Haze,hybrid,0.210,0.001, Sour, Spicy, Earthy, Kushy, Focused, Cerebral, Motivated,, Photoperiod, 10-11 weeks
Cookies Kush,sativa,0.200,0.001, Sweet, Spicy, Sour,, Cerebral, Energetic, Uplifting, Euphoric, Photoperiod, 9-10 weeks
Cotton Bud Autoflowering,sativa,0.190,0.008, Fresh, Fruity, Cerebral,, Sociable, Trippy, Uplifting,, Photoperiod, 10-11 weeks
Cotton Candy Kush,sativa,0.220,0.001, Pine, Lemon, Sweet, Woody, Euphoric, Uplifting, Cerebral, Relaxed, Photoperiod, 9 weeks
Crazy Miss Hyde,sativa,0.100,0.100, Pepper, Berry, Citrus,, Calming, Relaxed, Smooth,, Photoperiod, 9-10 weeks
Crazy Miss Hyde Autoflowering,sativa,0.060,0.080, Skunk, Mango, Pepper, Spicy, Calming, Relaxed,,, Photoperiod, 9-12 weeks
Cream Caramel,indica,0.120,0.010, Earthy, Sour, Spicy, Sweet, Relaxed, Cerebral, Uplifting, Body-buzz, Autoflowering, 8 weeks
Cream Caramel Autoflowering,indica,0.190,0.008, Sweet, Fresh, Grape, Fruity, Body-buzz, Relaxed, Sociable, Happy, Photoperiod, 7-8 weeks
Cream Caramel CBD,indica,0.120,0.001, Earthy, Chocolate, Fuel, Pepper, Relaxed, Happy, Attentive, Mellow, Photoperiod, 8-9 weeks
Cream Cookies Autoflowering,hybrid,0.080,0.070, Sweet, Earthy, Berry, Fruity, Clear-headed, Relaxed, Smooth, Body-buzz, Photoperiod, 8-9 weeks
Cream Mandarine - F1 Fast Version,sativa,0.120,0.001, Fruity, Sweet,,, Cerebral, Uplifting, Creative, Energetic, Autoflowering, 10 weeks
Cream Mandarine Autoflowering,sativa,0.220,0.001, Earthy, Sweet,,, Focused, Motivated, Energetic, Uplifting, Photoperiod, 10-12 weeks
Cream Mandarine XL Autoflowering,hybrid,0.210,0.004, Earthy, Chocolate, Pine,, Calming, Tingly, Relaxed, Happy, Photoperiod, 8-9 weeks
Cream caramel - F1 Fast Version,indica,0.120,0.001, Fruity, Candy, Chocolate,, Calming, Relaxed, Body-buzz,, Photoperiod, 7-8 weeks
Crimea Blue,hybrid,0.140,0.005, Fresh, Sweet, Earthy, Citrus, Mellow, Creative, Balanced, Clear-headed, Photoperiod, 8-9 weeks
Criminal +,hybrid,0.120,0.001, Chemical, Grapefruit, Hashish,, Body-buzz, Clear-headed, Fuel, Long-lasting, Photoperiod, 8 weeks
Critical,indica,0.120,0.001, Cheese, Kushy, Pungent,, Euphoric, Body-buzz, Relaxed, Happy, Photoperiod, 9-11 weeks
Critical 47,hybrid,0.200,0.001, Fresh, Citrus, Fruity,, Relaxed, Long-lasting, Euphoric, Meditative, Autoflowering, 9-10 weeks
Critical 47 Express,sativa,0.220,0.001, Fruity, Sweet, Citrus,, Alert, Uplifting, Creative, Energetic, Photoperiod, 9-10 weeks
Critical AK Autoflowering,hybrid,0.140,0.001, Berry, Citrus, Fruity,, Long-lasting, Body-buzz, Cerebral, Balanced, Photoperiod, 9 weeks
Critical Autoflowering,sativa,0.220,0.001, Earthy, Fresh, Pine,, Long-lasting, Euphoric, Cerebral, Uplifting, Photoperiod, 9-12 weeks
Critical Cheese,hybrid,0.120,0.001, Skunk, Spicy,,, Relaxed, Cerebral, Creative,, Photoperiod, 7-8 weeks
Critical Cheese Autoflowering,sativa,0.220,0.001, Sweet, Mint, Sour, Fruity, Clear-headed, Energetic, Uplifting, Creative, Photoperiod, 9-10 weeks
Critical Diesel Autoflowering,sativa,0.250,0.004,0.40%, Sweet, Flowery,, Trippy, Cerebral, Uplifting,, Photoperiod, 11-14 weeks
Critical HOG,indica,0.180,0.002,0.20%, Earthy, Mango,, Euphoric, Fruity, Long-lasting, Strong, Photoperiod, 9-10 weeks
Critical Haze,indica,0.220,0.001, Coffee, Vanilla, Earthy, Guava, Relaxed, Body-buzz, Long-lasting,, Photoperiod, 7-8 weeks
Critical Impact,indica,0.120,0.001, Berry, Musky, Sweet,, Relaxed, Body-buzz, Calming, Dreamy, Autoflowering, 9-10 weeks
Critical Jack,sativa,0.150,0.001, Pine, Earthy,,, Cerebral, Relaxed,,, Autoflowering, 9-10 weeks
Critical Jack Autoflowering,indica,0.250,0.010, Spicy, Citrus, Sweet, Fruity, Euphoric, Trippy, Cerebral, Uplifting, Photoperiod, 10-11 weeks
Critical Jack Herer,hybrid,0.120,0.001, Mint, Hashish, Grape, Fruity, Relaxed, Long-lasting, Uplifting,, Photoperiod, 7-8 weeks
Critical Jack Herer Autoflowering,hybrid,0.060,0.050, Sour, Sweet, Lavender,, Calming, Smooth, Body-buzz, Long-lasting, Autoflowering, 9 weeks
Critical Kali Mist,hybrid,0.220,0.030, Citrus, Spicy, Candy, Sweet, Balanced, Relaxed, Euphoric, Happy, Photoperiod, 9 weeks
Critical Kush,hybrid,0.010,0.080, Fruity, Fresh, Cypress, Citrus, Clear-headed, Long-lasting, Smooth,, Autoflowering, 8 weeks
Critical Kush Autoflowering,sativa,0.120,0.001, Citrus, Lemon, Cheese, Pungent, Euphoric, Happy, Focused, Motivated, Photoperiod, 8-9 weeks
Critical Lemon,hybrid,0.170,0.001, Sweet, Pine, Citrus,, Relaxed, Sociable, Happy,, Photoperiod, 7 weeks
Critical Magic,indica,0.220,0.001, Berry, Woody, Pine, Fruity, Relaxed, Calming,,, Photoperiod, 8-9 weeks
Critical Mango,indica,0.120,0.001, Sweet, Pine, Sour, Spicy, Body-buzz, Relaxed, Talkative, Creative, Photoperiod, 9-11 weeks
Critical Mass,sativa,0.200,0.003, Fruity, Melon, Chocolate,, Uplifting, Energetic, Euphoric, Creative, Photoperiod, 9 weeks
Critical Mass 33,indica,0.160,0.001, Diesel, Tropical, Pungent, Smooth, Uplifting, Happy, Relaxed,, Autoflowering, 8-9 weeks
Critical Mass Autoflowering,sativa,0.220,0.001, Pungent, Sweet, Pine,, Sociable, Euphoric, Uplifting, Relaxed, Photoperiod, 9-11 weeks
Critical Mass CBD,indica,0.060,0.050, Fruity, Onion, Garlic,, Balanced, Relaxed, Meditative, Body-buzz, Photoperiod, 8-10 weeks
Critical Neville Haze 2.0,hybrid,0.220,0.030, Citrus, Sour, Diesel,, Cerebral, Uplifting, Relaxed,, Photoperiod, 9 weeks
Critical Neville Haze Autoflowering,indica,0.150,0.001, Pine, Earthy, Skunk,, Body-buzz, Calming, Relaxed,, Autoflowering, 10 weeks
Critical Orange Punch,indica,0.120,0.001, Sweet, Fruity, Citrus,, Sociable, Calming, Relaxed,,,
Critical Purple Kush,sativa,0.150,0.110, Citrus, Tropical, Skunk,, Trippy, Uplifting, Euphoric, Cerebral, Autoflowering, 12 weeks
Critical Sensi Star,sativa,0.220,0.001, Earthy, Sweet,,, Uplifting, Euphoric, Energetic,, Photoperiod, 9-11 weeks
Critical Skunk,sativa,0.180,0.001, Lemon, Cheese, Spicy, Skunk, Relaxed, Body-buzz, Euphoric, Long-lasting, Autoflowering, 8 weeks
Critical Soma,hybrid,0.160,0.001, Sour, Grapefruit, Diesel,, Happy, Creative, Euphoric, Attentive, Autoflowering, 11-12 weeks
Critical Super Silver Haze,indica,0.120,0.001, Berry, Fruity, Earthy,, Relaxed, Body-buzz, Happy,, Photoperiod, 8-9 weeks
Critical+,indica,0.120,0.001, Sweet, Pungent,,, Body-buzz, Calming, Relaxed,, Photoperiod, 7-8 weeks
Critical+ 2.0,indica,0.080,0.040, Berry, Pungent,,, Calming, Sleepy, Relaxed, Happy, Photoperiod, 8-9 weeks
Critical+ 2.0 Autoflowering,hybrid,0.080,0.070, Flowery, Fruity, Fresh, Lemon, Smooth, Relaxed, Sociable, Calming, Photoperiod, 8-9 weeks
Critical+ Autoflowering,indica,0.120,0.001, Herbal, Sweet, Sour, Earthy, Cerebral, Couch-lock, Calming, Sleepy, Autoflowering, 10 weeks
Crockett's Dawg,sativa,0.220,0.001, Earthy, Fresh, Skunk, Fruity, Body-buzz, Creative, Cerebral, Balanced, Photoperiod, 12 weeks
Crockett's Haze,indica,0.190,0.001, Sweet, Flowery, Earthy,, Happy, Narcotic, Relaxed, Sleepy, Photoperiod, 8-9 weeks
Crockett's Sour Tangie,hybrid,0.120,0.001, Fruity, Spicy, Citrus,, Body-buzz, Relaxed, Cerebral, Balanced, Autoflowering, 8-9 weeks
Crockett's Tangie,sativa,0.220,0.001, Sweet, Pungent, Ammonia, Candy, Long-lasting, Energetic, Cerebral, Creative, Photoperiod, 9-10 weeks
Crocketts Confidential,sativa,0.120,0.001, Sweet, Spicy,,, Alert, Energetic, Cerebral,,,
Crystal Candy,indica,0.220,0.220, Earthy, Sweet, Citrus, Fruity, Relaxed, Uplifting, Happy, Sleepy, Photoperiod, 10-11 weeks
Crystal Candy - F1 Fast Version,indica,0.240,0.001, Lavender, Caramel, Musky, Fruity, Cerebral, Uplifting, Energetic, Strong, Photoperiod, 9-10 weeks
Crystal Candy Autoflowering,indica,0.120,0.001, Skunk, Flowery,,, Relaxed, Energetic, Strong, Happy, Photoperiod, 8-9 weeks
Crystal Cloud,hybrid,0.160,0.110, Sweet, Fresh, Tropical, Fruity, Sociable, Relaxed, Happy, Body-buzz, Photoperiod, 8-9 weeks
Crystal Meth,sativa,0.180,0.002, Citrus, Fuel, Chemical, Pungent, Smooth, Energetic, Sociable, Creative, Photoperiod, 8-9 weeks
Crystal Queen,hybrid,0.120,0.001, Pepper, Spicy, Pungent,, Balanced, Relaxed, Body-buzz, Cerebral, Photoperiod, 7-8 weeks
Crystal White,hybrid,0.120,0.001, Fruity, Woody, Pine,, Relaxed, Talkative, Calming, Sociable, Autoflowering, 11 weeks
Cum Laude,indica,0.210,0.001, Diesel, Cheese, Pine,, Strong, Sociable,,, Photoperiod, 9-10 weeks
Currant Kush,sativa,0.220,0.001, Fresh, Fruity, Sweet,, Uplifting, Creative, Energetic, Cerebral, Photoperiod, 9-12 weeks
Cuvée,sativa,0.220,0.001, Sour, Fruity, Citrus,, Uplifting, Creative, Talkative, Motivated, Photoperiod, 9-10 weeks
DFA Autoflowering,indica,0.120,0.220, Lemon, Fruity,,, Relaxed, Body-buzz, Calming,, Autoflowering, 10 weeks
DJ’s Gold,indica,0.220,0.001, Woody, Earthy,,, Strong, Long-lasting, Body-buzz,, Photoperiod, 10 weeks
Daddy's Girl,hybrid,0.220,0.001, Berry, Strawberry, Sweet, Grape, Relaxed, Happy, Body-buzz, Euphoric, Photoperiod, 8-9 weeks
Dairy Queen,sativa,0.210,0.001, Skunk, Sweet, Spicy,, Happy, Strong, Uplifting, Cerebral, Photoperiod, 9-10 weeks
Dama Blanca,indica,0.220,0.030, Skunk, Pungent,,, Euphoric, Relaxed,,, Autoflowering, 8-9 weeks
Damn Sour,sativa,0.140,0.110, Spicy, Cinnamon, Caramel,, Creative, Sociable, Euphoric,, Photoperiod, 7-8 weeks
Damnesia,hybrid,0.230,0.030, Sweet, Mint, Vanilla, Pepper, Relaxed, Euphoric, Uplifting, Long-lasting, Photoperiod, 8-9 weeks
Damnesia Autoflowering,hybrid,0.180,0.001, Sweet, Strawberry, Skunk, Fruity, Balanced, Relaxed, Cerebral, Uplifting, Photoperiod, 7-8 weeks
Dance World,indica,0.150,0.001, Pepper, Musky,,, Smooth, Relaxed, Happy, Calming, Autoflowering, 8 weeks
Dancehall,indica,0.120,0.001, Flowery, Lemon, Pungent,, Happy, Tingly, Relaxed, Sociable, Photoperiod, 9 weeks
Dark Devil Autoflowering,sativa,0.220,0.001, Skunk, Sweet, Skunk, Pungent, Energetic, Uplifting, Euphoric, Cerebral, Photoperiod, 9-11 weeks
Dark Dragon,sativa,0.220,0.001, Citrus, Woody, Herbal, Lemon, Happy, Uplifting, Motivated,, Photoperiod, 8-10 weeks
Dark Rhino,sativa,0.190,0.010, Diesel, Fruity,,, Relaxed, Strong, Calming,, Photoperiod, 10-12 weeks
Darkling Sativa,sativa,0.150,0.001, Creamy, Orange, Citrus,, Clear-headed, Focused, Relaxed,, Photoperiod, 9-10 weeks
Darkstar Kush,sativa,0.210,0.001, Skunk, Pineapple, Strawberry, Citrus, Happy, Euphoric, Relaxed,, Autoflowering, 9-10 weeks
Dawg Star,indica,0.120,0.001, Sour, Pungent, Cheese, Skunk, Relaxed, Happy, Calming,, Photoperiod, 8-10 weeks
Deadhead OG,hybrid,0.170,0.001, Pungent, Diesel, Chemical,, Smooth, Relaxed, Body-buzz, Balanced, Autoflowering, 9-10 weeks
Deadlights,sativa,0.200,0.001, Earthy, Chocolate, Citrus, Woody, Euphoric, Cerebral, Energetic, Uplifting, Photoperiod, 14-20 weeks
Dedoverde Haze,indica,0.120,0.001, Pine, Earthy, Fresh,, Relaxed, Body-buzz, Couch-lock, Calming, Photoperiod, 7-8 weeks
Deep Cheese,indica,0.120,0.001, Spicy, Berry, Woody, Sweet, Relaxed, Happy, Giggly, Munchies, Autoflowering, 9 weeks
Deep Chunk,sativa,0.190,0.001, Sour, Woody, Diesel, Lemon, Sociable, Energetic, Happy, Uplifting, Photoperiod, 10-11 weeks
Deep Purple,sativa,0.090,0.220, Spicy, Citrus, Woody,, Creative, Cerebral,,, Autoflowering, 10-12 weeks
Deimos,indica,0.120,0.001, Pungent, Earthy, Spicy, Fruity, Strong, Relaxed, Cerebral, Sleepy, Photoperiod, 9-10 weeks
Delahaze,sativa,0.160,0.110, Spicy, Earthy,,, Uplifting, Energetic, Happy, Cerebral, Autoflowering, 9-10 weeks
Delicious Candy,indica,0.130,0.001, Sweet, Berry,,, Relaxed, Smooth, Body-buzz,, Photoperiod, 8-9 weeks
Delicious Candy Auto,hybrid,0.120,0.001, Earthy, Citrus, Sweet,, Cerebral, Uplifting, Trippy,, Autoflowering, 12-13 weeks
Delicious Candy Fast Version,hybrid,0.060,0.100, Chocolate, Orange, Fruity, Candy, Relaxed, Clear-headed, Euphoric,, Photoperiod, 8-9 weeks
Dementia,indica,0.190,0.001, Garlic, Lemon, Pine,, Body-buzz, Cerebral, Balanced, Relaxed, Photoperiod, 10 weeks
Desert Diesel,hybrid,0.120,0.001, Grape, Sweet, Fruity,, Creative, Uplifting, Energetic, Euphoric, Photoperiod, 9 weeks
Desert Queen,indica,0.160,0.010, Sweet, Pungent, Cheese,, Body-buzz, Creative, Uplifting, Relaxed, Photoperiod, 8 weeks
Desfrán,hybrid,0.150,0.001, Citrus, Tropical, Fruity,, Sociable, Giggly, Talkative, Relaxed, Photoperiod, 9 weeks
Destroyer,indica,0.120,0.001, Musky, Flowery, Sweet, Fruity, Relaxed, Sleepy, Calming,, Autoflowering, 8 weeks
Devil,sativa,0.080,0.080, Pine, Earthy, Sweet,, Smooth, Relaxed, Uplifting, Clear-headed, Autoflowering, 10 weeks
Devil Cream Autoflowering,indica,0.120,0.001, Sweet, Lemon, Pine, Grape, Mellow, Couch-lock, Munchies, Euphoric, Photoperiod, 8-9 weeks
Devil Fruit,hybrid,0.190,0.110, Cheese, Pungent, Skunk,, Euphoric, Happy, Balanced, Relaxed, Photoperiod, 8 weeks
Diamond Girl,hybrid,0.120,0.001, Sweet, Mango, Tropical,, Balanced, Energetic, Cerebral, Talkative, Photoperiod, 9 weeks
Diesel,hybrid,0.160,0.001, Sweet, Pepper, Earthy, Spicy, Balanced, Relaxed, Body-buzz, Calming, Photoperiod, 8-9 weeks
Diesel Autoflowering,indica,0.120,0.001, Citrus, Lemon,,, Happy, Calming, Body-buzz,, Autoflowering, 10 weeks
Diesel Berry Autoflowering,indica,0.120,0.001, Sour, Spicy, Skunk,, Relaxed, Sociable, Happy,, Photoperiod, 8 weeks
Diesel Dipped Cookies,indica,0.150,0.110, Sweet, Fruity,,, Relaxed, Euphoric,,, 400-450g/m²,
Diesel Glue,hybrid,0.120,0.001, Berry, Strawberry, Citrus, Fruity, Uplifting, Relaxed, Sociable, Happy, Photoperiod, 7-8 weeks
Diesel Haze Autoflowering,indica,0.220,0.001, Spicy, Earthy,,, Strong, Trippy,,, Photoperiod, 8-9 weeks
Diesel Kush,indica,0.180,0.001, Woody, Citrus, Sweet,, Meditative, Body-buzz, Relaxed,, Autoflowering, 11-12 weeks
Diesel Ryder,indica,0.120,0.001, Sweet, Earthy, Citrus, Pine, Sociable, Relaxed, Happy, Giggly, Photoperiod, 7-8 weeks
Dieseltonic,sativa,0.220,0.001, Spicy, Citrus, Lemon,, Motivated, Strong, Creative, Uplifting, Photoperiod, 14 weeks
Dinachem,sativa,0.120,0.001, Pineapple, Candy, Fruity, Cherry, Euphoric, Uplifting, Happy,, Photoperiod, 9-10 weeks
Dinamed CBD,sativa,0.190,0.110, Citrus, Tropical, Fruity,, Relaxed, Happy, Calming, Sociable, Photoperiod, 9-10 weeks
Dinamed CBD Autoflowering,indica,0.120,0.001, Chemical, Grape, Diesel, Fruity, Relaxed, Body-buzz, Uplifting,, Photoperiod, 8-9 weeks
Dinamed CBD Plus,indica,0.120,0.001, Pepper, Earthy, Spicy, Sweet, Happy, Body-buzz, Relaxed, Calming, Autoflowering, 10-11 weeks
Dinamex,hybrid,0.120,0.001, Earthy, Fruity, Pungent,, Cerebral, Uplifting,,, Photoperiod, 9 weeks
Dinamex Autoflowering,sativa,0.070,0.220, Berry, Fruity, Licorice, Earthy, Relaxed, Long-lasting, Clear-headed, Calming, Photoperiod, 8-9 weeks
Do-Si-Dos,indica,0.180,0.001, Sweet, Lemon, Spicy,, Sleepy, Relaxed, Happy, Calming, Photoperiod, 8-9 weeks
Do-Sweet-Dos,indica,0.220,0.030, Pine, Sweet, Earthy,, Uplifting, Happy, Balanced, Relaxed, Autoflowering, 8-9 weeks
Doctor Jamaica,indica,0.220,0.030, Sweet, Fruity, Earthy,, Relaxed, Cerebral, Strong,, Photoperiod, 7-9 weeks
Dominator,indica,0.120,0.001, Flowery, Sweet, Spicy,, Relaxed, Cerebral, Sociable, Body-buzz, Autoflowering, 9-10 weeks
Double Alien 18,indica,0.120,0.001, Candy, Earthy, Pineapple, Tangerine, Flowery, Long-lasting, Relaxed, Uplifting, Photoperiod, 7-8 weeks
Double Diesel Ryder,indica,0.120,0.001, Fruity, Cheese, Pungent, Creamy, Body-buzz, Relaxed, Energetic, Balanced, Photoperiod, 7-9 weeks
Double Dutch,indica,0.150,0.001, Citrus, Sweet, Focused,, Relaxed, Motivated, Cerebral,, Autoflowering, 9-10 weeks
Double Glock,sativa,0.130,0.030, Skunk, Spicy, Flowery,, Sociable, Happy, Relaxed,, Autoflowering, 8-9 weeks
Double Gum,sativa,0.120,0.001, Lemon, Sweet, Citrus, Tropical, Uplifting, Happy, Munchies, Euphoric, Photoperiod, 9-11 weeks
Double Tangie Banana,hybrid,0.140,0.220, Sweet, Fruity, Skunk,, Relaxed,,,, Photoperiod, 8-9 weeks
Double White,indica,0.250,0.001, Sweet, Mint, Earthy, Kushy, Body-buzz, Relaxed, Happy, Meditative, Photoperiod, 8-10 weeks
Douce Nuit,hybrid,0.180,0.110, Fruity, Spicy, Mint, Berry, Relaxed, Energetic, Calming,, Photoperiod, 7-8 weeks
Dr Greenthumb’s Em-Dog,indica,0.220,0.001, Sweet, Pungent, Citrus, Spicy, Happy, Relaxed, Giggly, Strong, Photoperiod, 9 weeks
Dr. Greenthumb's  Dedoverde Haze Autoflowering,sativa,0.120,0.001, Citrus, Lemon, Musky, Fresh, Sociable, Cerebral, Happy, Uplifting, Autoflowering, 9 weeks
Dr. Grinspoon,sativa,0.120,0.030, Chemical, Pungent, Earthy, Smooth, Long-lasting, Relaxed, Uplifting,, Autoflowering, 10-11 weeks
Dr. Who,indica,0.190,0.001, Fruity, Sweet, Blueberry,, Uplifting, Long-lasting, Body-buzz, Relaxed, Photoperiod, 8-9 weeks
Dreamberry,indica,0.240,0.001, Pine, Sweet, Earthy, Fuel, Strong, Body-buzz, Uplifting, Narcotic, Photoperiod, 8-9 weeks
Dulce De Leche,hybrid,0.060,0.050, Cinnamon, Pungent, Mango, Citrus, Focused, Mellow, Uplifting, Clear-headed, Autoflowering, 10-11 weeks
Durban,hybrid,0.250,0.001, Sweet, Fruity, Mint,, Balanced, Happy, Body-buzz, Uplifting, Photoperiod, 8-9 weeks
Durban Magic,sativa,0.180,0.010, Citrus, Candy, Fresh,, Clear-headed, Energetic, Motivated, Euphoric, Photoperiod, 9 weeks
Durban Poison,indica,0.120,0.001, Flowery, Blueberry, Earthy, Fruity, Body-buzz, Calming, Mellow, Relaxed, Autoflowering, 8 weeks
Durban-Thai x C99,sativa,0.120,0.001, Sweet, Fruity, Fresh, Mango, Balanced, Energetic, Cerebral, Creative, Photoperiod, 8-10 weeks
Durga Mata,hybrid,0.180,0.030, Earthy, Sweet, Spicy,, Relaxed, Cerebral, Uplifting,, Photoperiod, 8-9 weeks
Durga Mata II CBD,hybrid,0.190,0.030, Mint, Citrus, Woody,, Sleepy, Motivated, Cerebral, Calming, Photoperiod, 8-9 weeks
Dutch Cheese,indica,0.050,0.050, Sweet, Earthy, Pungent,, Calming, Clear-headed, Relaxed,, Photoperiod, 8 weeks
Dutch Dragon,indica,0.200,0.001, Sweet, Fruity,,, Calming, Relaxed, Sleepy,, Photoperiod, 9 weeks
Dutch Haze,indica,0.120,0.001, Pungent, Earthy, Fruity, Sweet, Relaxed, Happy, Body-buzz, Calming, Autoflowering, 10 weeks
Dutch Kush,indica,0.160,0.030, Tropical, Berry, Cheese,, Euphoric, Relaxed, Cerebral,,,
Dynamite,sativa,0.120,0.001, Berry, Sweet, Uplifting,, Energetic, Cerebral,,, Photoperiod, 8 weeks
Early Amnesia CBD,indica,0.120,0.001, Earthy, Hashish,,, Couch-lock, Relaxed, Body-buzz, Strong, Photoperiod, 8 weeks
Early Maroc,hybrid,0.070,0.050, Mint, Pine, Woody, Citrus, Calming, Balanced, Relaxed, Happy, Photoperiod, 10 weeks
Early Pearl Skunk x Haze,sativa,0.210,0.001, Skunk, Sweet, Earthy,, Energetic, Relaxed, Cerebral, Uplifting, Photoperiod, 10-11 weeks
Early Queen,hybrid,0.120,0.001, Fruity, Chocolate, Spicy, Earthy, Happy, Calming, Relaxed, Euphoric, Autoflowering, 9-10 weeks
Early Skunk,indica,0.120,0.001, Spicy, Herbal, Hashish, Earthy, Relaxed, Body-buzz, Happy,, Autoflowering, 11-13 weeks
Early Skunk Autoflowering,hybrid,0.120,0.001, Earthy, Pungent, Hashish, Herbal, Relaxed, Euphoric, Body-buzz, Calming, Photoperiod, 7-9 weeks
Early Skunk Haze,hybrid,0.170,0.001, Fruity, Citrus, Sweet,, Uplifting, Relaxed, Motivated, Cerebral, Autoflowering, 10 weeks
Early Skunk x Blue Lemon Thai,hybrid,0.120,0.001, Sweet, Fruity, Berry, Happy, Euphoric, Uplifting, Energetic, Cerebral, Photoperiod, 9-10 weeks
Early Top Tao,sativa,0.120,0.001, Skunk 1, Sweet, Fruity, Sour, Euphoric, Uplifting, Motivated, Cerebral, Photoperiod, 8-9 weeks
Early Widow,sativa,0.180,0.005, Citrus, Pungent, Diesel, Spicy, Cerebral, Energetic, Happy, Euphoric, Photoperiod, 9 weeks
Easy Bud,indica,0.160,0.110, Earthy, Sweet, Strong,, Relaxed, Calming,,, Photoperiod, 6-7 weeks
Easy Haze,hybrid,0.230,0.001, Citrus, Diesel, Strong,, Energetic, Cerebral, Uplifting,, Photoperiod, 7-9 weeks
Easy Ryder,sativa,0.080,0.080, Fresh, Cherry, Citrus, Fruity, Balanced, Uplifting, Mellow, Relaxed, Autoflowering, 10-11 weeks
Easy Sativa,indica,0.120,0.001, Sweet, Fruity, Berry,, Relaxed, Happy, Strong,, Photoperiod, 9 weeks
